,mirna,low_medium_p_value,low_high_p_value,medium_high_p_value
0,hsa-mir-410,0.02651773425384611,0.5195832211949145,0.31858818341062933
1,hsa-mir-323,0.03276072449249582,0.26935883718583603,0.522378341834316
2,hsa-mir-323b,0.04656013248356625,0.915409283798818,0.3118288054555496
3,hsa-mir-431,0.00359448036336358,0.36831861964779655,0.1451887989458371
4,hsa-mir-10b,0.005166979286613414,1.427604702502229e-10,6.78449050088014e-06
5,hsa-mir-196b,0.2488630597394269,2.0172477661419266e-10,8.635285785145891e-12
6,hsa-mir-10a,0.1544705685571297,1.1044000964272867e-07,1.1122910088684596e-13
7,hsa-mir-21,0.002050565523622664,7.86433333385335e-09,0.0015293968190258412
8,hsa-mir-155,0.0044937579560425265,4.5237815242671625e-15,5.4807099894915106e-05
9,hsa-mir-148a,0.162613520292946,1.5348335814830044e-14,2.6117182087830138e-25
